Name,Guid,Language,LatestVersion,Path
"Login Teaser",6e686b1c-1675-4263-af03-dce07827afdd,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Login Teaser\{6E686B1C-1675-4263-AF03-DCE07827AFDD}\en\1\xml"
"Map Page",ee9e5bdb-7d71-48f7-b461-42bf9c2052ec,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\Map Page\{EE9E5BDB-7D71-48F7-B461-42BF9C2052EC}\en\1\xml"
"Map Point",11c28d16-9b88-456e-a42b-d4b5a82867e3,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Map Point\{11C28D16-9B88-456E-A42B-D4B5A82867E3}\en\1\xml"
"Map Points Folder",067ec866-b3fb-485b-bb49-6151fb086e78,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Map Points Folder\{067EC866-B3FB-485B-BB49-6151FB086E78}\en\1\xml"
"Map Type",04c34cf5-b7ea-4408-88e8-5fc851173dbd,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Feature\Maps\Map Type\{04C34CF5-B7EA-4408-88E8-5FC851173DBD}\en\1\xml"
"Media Background",42a10c41-5186-4a1e-aa7e-54ea00199c3f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Media\Media Background\{42A10C41-5186-4A1E-AA7E-54EA00199C3F}\en\1\xml"
"Media Background Folder",82a6f39c-53e1-4eca-8c27-69937cff3b47,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Media\Media Background Folder\{82A6F39C-53E1-4ECA-8C27-69937CFF3B47}\en\1\xml"
"Media Folder",920a1781-559f-4e1c-bb2e-6b9a2113fe6b,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Media\Media Folder\{920A1781-559F-4E1C-BB2E-6B9A2113FE6B}\en\1\xml"
"MetaKeyword",18cdd4ce-cdbe-4bdc-9d5a-6249f7f0ec17,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\MetaKeyword\{18CDD4CE-CDBE-4BDC-9D5A-6249F7F0EC17}\en\1\xml"
"MetaKeyword Folder",cd047791-c29a-4596-aeee-db5e70421c1f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\MetaKeyword Folder\{CD047791-C29A-4596-AEEE-DB5E70421C1F}\en\1\xml"
"Navigation Link",8ff3d369-a508-4d2f-84a5-9b6c6bf5e537,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Content Types\Navigation\Navigation Link\{8FF3D369-A508-4D2F-84A5-9B6C6BF5E537}\en\1\xml"
"News Article",b69277ad-e917-4b9f-9136-a12e0a3e462f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\News Article\{B69277AD-E917-4B9F-9136-A12E0A3E462F}\en\1\xml"
"News List",a99866e5-08e7-44d8-8a52-f8e26bcd3714,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Habitat\Page Types\News List\{A99866E5-08E7-44D8-8A52-F8E26BCD3714}\en\1\xml"
"ParametersTemplate_FixedHeight",329421cf-b99c-4e7a-af71-f7fa7dc42bf1,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Theming\ParametersTemplate_FixedHeight\{329421CF-B99C-4E7A-AF71-F7FA7DC42BF1}\en\1\xml"
"ParametersTemplate_HasBackground",a2a233a1-6701-48a9-b5f8-efeab74b655f,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Theming\ParametersTemplate_HasBackground\{A2A233A1-6701-48A9-B5F8-EFEAB74B655F}\en\1\xml"
"ParametersTemplate_HasContainer",29299e73-6841-44c1-a65f-0889011e2eec,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Theming\ParametersTemplate_HasContainer\{29299E73-6841-44C1-A65F-0889011E2EEC}\en\1\xml"
"ParametersTemplate_HasContainerWithBackground",3ca3a190-897a-4ec9-8eb5-9de2c3636569,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Foundation\Theming\ParametersTemplate_HasContainerWithBackground\{3CA3A190-897A-4EC9-8EB5-9DE2C3636569}\en\1\xml"
"ParametersTemplate_HasContainerWithDynamicPlaceholder",4654d5f0-9b39-426a-992d-1d42e356fb0a,en,1,"C:\Work\Epi\ContentMigration\Habitat.1.4.0.682\package\items\master\sitecore\templates\Project\Common\Parameters\ParametersTemplate_HasContainerWithDynamicPlaceholder\{4654D5F0-9B39-426A-992D-1D42E356FB0A}\en\1\xml"
